Index,ph,Hardness,Solids,Chloramines,Sulfate
0,7.080794504,204.8904555,20791.31898,7.300211873,368.5164413
1,3.716080075,129.4229205,18630.05786,6.635245884,7.080794504
2,8.099124189,224.2362594,19909.54173,9.275883603,7.080794504
3,8.316765884,214.3733941,22018.41744,8.059332377,356.8861356
4,9.092223456,181.1015092,17978.98634,6.546599974,310.1357375
5,5.584086638,188.3133238,28748.68774,7.544868789,326.6783629
6,10.22386216,248.0717353,28749.71654,7.513408466,393.6633955
7,8.635848719,203.3615226,13672.09176,4.563008686,303.3097712
8,7.080794504,118.9885791,14285.58385,7.804173553,268.6469407
9,11.18028447,227.2314692,25484.50849,9.077200017,404.0416347
10,7.360640106,165.5207973,32452.61441,7.550700907,326.6243535
11,7.974521649,218.6933005,18767.65668,8.110384501,7.080794504
12,7.119824384,156.7049933,18730.81365,3.606036091,282.3440505
13,7.080794504,150.1749234,27331.36196,6.838223471,299.4157813
14,7.496232208,205.3449822,28388.00489,5.072557774,7.080794504
15,6.347271761,186.7328807,41065.23476,9.629596276,364.4876872
16,7.0517858,211.0494061,30980.60079,10.09479601,7.080794504
17,9.181560007,273.8138067,24041.32628,6.904989726,398.3505168
18,8.975464348,279.3571668,19460.39813,6.204320859,7.080794504
19,7.371050302,214.4966105,25630.32004,4.43266929,335.7544386
20,7.080794504,227.4350484,22305.56741,10.33391789,7.080794504
21,6.660212026,168.2837469,30944.36359,5.858769131,310.9308583
22,7.080794504,215.9778587,17107.22423,5.607060453,326.9439777
23,3.902475686,196.9032467,21167.5001,6.996311586,7.080794504
24,5.400301781,140.7390623,17266.59342,10.05685248,328.3582407
25,6.514415093,198.7673513,21218.70287,8.67093692,323.596349
26,3.445061864,207.9262602,33424.76868,8.782147481,384.0070058
27,7.080794504,145.7681806,13224.93564,7.906444721,304.0019928
28,7.080794504,266.4210181,26362.96501,7.70006347,395.3894903
29,7.080794504,148.1530614,15193.41347,9.046832707,307.0117926
30,7.181448581,209.6256005,15196.22999,5.994678646,338.3364311
31,9.825489908,190.7566183,19677.89247,6.757540731,7.080794504
32,10.43329098,117.7912296,22326.89205,8.161504811,307.7075086
33,7.414148196,235.0445345,32555.85254,6.845952024,387.1753165
34,7.080794504,232.280452,14787.20626,5.474914832,7.080794504
35,5.115817064,191.952743,19620.54533,6.060712995,323.8363839
36,3.641629777,183.9087223,24752.07246,5.538314133,286.059556
37,5.618064406,304.2359121,17281.97517,6.101083505,7.080794504
38,7.080794504,143.4537313,19942.27322,5.890754583,7.080794504
39,9.267187531,198.6143947,24683.72357,6.110612421,328.0775332
40,7.080794504,233.8589957,11703.92391,4.599387943,309.0393204
41,5.331940479,194.8740654,16658.8765,7.993829562,316.6751618
42,7.145771545,238.6899285,28780.34043,6.814028701,385.9756505
43,9.920691059,202.817483,9973.934059,6.882248307,337.3505291
44,4.758439425,183.3494541,21568.42878,4.731348985,7.080794504
45,5.702925977,216.8504739,35606.44018,7.184351089,7.080794504
46,6.953864226,209.638293,10575.18628,4.462707246,315.6065944
47,10.68296643,173.3754984,15758.74062,5.570783575,307.3525858
48,7.080794504,129.8905723,34415.85315,6.32192899,304.5352242
49,8.757257397,200.1914004,21536.22469,4.915101055,317.8829005
50,7.080794504,168.3884308,27492.30731,7.046224798,299.8204779
51,7.809631898,100.4576151,12013.55063,5.212314602,247.200826
52,6.652488091,145.0101719,19871.78845,4.96106638,288.0521917
53,9.147197055,211.7141418,11920.61084,7.230794769,339.7519188
54,10.56074464,181.8933656,21783.65103,6.991259996,340.3903784
55,7.484254838,260.0921726,30616.61515,9.379133541,7.080794504
56,8.520806573,238.3351125,28779.65001,8.282808465,381.6493229
57,4.999413811,190.2870501,24323.8659,7.230164127,324.8930378
58,7.080794504,157.8011936,16963.62501,8.33561855,300.0442343
59,7.080794504,155.0557268,20557.24043,8.18731905,7.080794504
60,3.906078355,233.402835,32144.79993,6.994839617,348.3594482
61,6.391353624,213.0178297,20965.47831,5.375559892,327.6505425
62,7.080794504,229.4856937,35729.69271,8.810843045,384.9437789
63,8.692092013,195.1437388,24656.23968,8.231900338,7.080794504
64,8.085759801,127.7396738,32653.91036,6.53423741,7.080794504
65,6.203977702,212.3066183,21815.07415,7.873991885,7.080794504
66,5.058108869,238.5693804,34873.93452,8.983276144,374.4335045
67,7.080794504,103.4647587,27420.16742,8.417305032,7.080794504
68,7.080794504,211.200526,12830.48413,4.502117034,326.9615176
69,7.261550522,179.8897882,24964.7777,5.837086493,349.2692713
70,7.160467231,183.08931,6743.346066,3.803036424,277.5990986
71,5.704764776,116.2993299,33223.58153,7.05050316,297.0781535
72,6.217273135,130.9444639,19460.38282,7.092462955,300.131272
73,8.67993497,242.2286673,22984.05095,7.518764659,7.080794504
74,7.080794504,219.3009142,14859.46642,5.598326766,344.4423937
75,6.897322141,211.3601667,25650.77764,6.766009907,7.080794504
76,3.514545529,158.7320758,23029.66361,6.821679099,286.5228468
77,3.722500486,163.6397469,37962.16799,6.684570274,326.6940179
78,6.455004797,176.6839728,24468.04839,5.756930039,314.7995983
79,7.316804754,217.522862,31903.39981,9.865047503,376.9379723
80,1.844538366,233.7643427,28689.59578,7.7244323,7.080794504
81,5.519125656,168.728583,12531.60192,7.730722948,7.080794504
82,7.408985467,204.9617498,9566.12227,6.505923139,311.4526625
83,5.976769618,258.952732,27267.98186,7.648599331,383.6571521
84,6.395359132,133.8342291,23827.27502,5.127746861,266.9084283
85,6.20964226,195.4177209,13116.70771,7.879347671,7.080794504
86,6.762832522,232.0751766,27159.38435,7.884990658,350.4452927
87,9.918717064,199.1812511,21470.27831,6.79984141,329.178429
88,10.15544017,300.2924758,12652.36298,6.655126363,398.6477857
89,8.721726711,206.3696824,28608.05208,6.325442404,377.4045382
90,7.080794504,197.9797828,17153.30616,7.659203939,329.2803146
91,7.080794504,199.1078856,29721.91163,6.869690215,357.303221
92,6.099646705,237.9199268,20416.841,8.457830699,7.080794504
93,9.02678772,253.2170742,27965.07215,6.588374366,373.5532353
94,6.953371603,203.1465468,11609.10905,5.495737655,304.2831932
95,6.140877557,197.8760897,26687.87448,7.587196418,329.2318529
96,7.077874007,220.6705396,23873.37821,6.181839616,341.9872341
97,5.488314309,135.8023617,21485.1532,8.187415791,280.6032867
98,7.205559175,120.3276153,24627.86756,6.202469332,289.7686966
99,9.177869866,163.2748283,20868.33122,7.726040434,320.4214322
100,4.270716195,166.8377085,24405.25053,7.391510138,297.2067392
101,7.348844512,223.2649397,11519.04653,8.88955868,7.080794504
102,8.52616987,175.6128363,11837.12336,7.483708838,308.3985155
103,7.080794504,169.0419175,36152.8209,8.330388898,329.0397102
104,2.612035915,188.8041257,34798.25259,6.796439154,7.080794504
105,8.490571562,204.1236484,22989.79639,8.270792937,358.847115
106,7.080794504,213.5419323,22539.71161,6.957204179,334.0411862
107,8.858401531,254.6175187,9624.300462,7.954015627,348.4081949
108,6.098156521,189.995846,27776.90105,6.443097878,347.9304004
109,8.419970682,185.7189888,13237.9896,3.998265841,308.1426389
110,9.286155021,222.6615514,12311.26837,7.289866041,332.2393595
111,7.875895135,226.2847878,12710.24945,7.303126583,346.4032581
112,7.725332908,252.2654912,36477.73811,8.386761008,426.5435898
113,3.388090611,212.0289445,20230.12558,8.56978153,349.1559987
114,6.745306715,218.424637,21871.8387,7.165509192,7.080794504
115,7.080794504,190.4238985,28062.64189,9.615147027,357.2267095
116,7.183825723,261.8507998,14100.96899,9.008495194,358.7247021
117,10.1119767,240.4321002,15331.30269,5.392651282,361.9029262
118,7.397413299,122.5410399,8855.114121,6.888688939,241.6075323
119,7.812804388,196.583886,42550.84182,7.33464764,7.080794504
120,6.877456933,136.8792139,27433.58729,7.091521514,307.3970883
121,7.080794504,146.9702452,16367.45837,7.687037186,7.080794504
122,7.080794504,230.8094825,27418.78104,7.136498392,369.3100078
123,7.521051679,267.0596474,26865.37374,10.44945031,7.080794504
124,8.550875469,231.2487868,28918.41995,7.822528491,369.2642227
125,10.30847766,217.2197464,27653.23518,8.912266341,369.5312064
126,7.080794504,252.670469,29368.67418,9.906146627,433.9522119
127,7.371085073,207.7168244,24913.83717,9.616330437,362.30018
128,11.18069466,228.3008604,16600.39275,6.094000531,7.080794504
129,6.506487767,202.2859379,17087.0769,6.201982767,326.6623683
130,6.643935775,151.8896001,10909.19459,3.749625148,240.9367221
131,5.03377399,155.3214775,34971.80748,7.121477448,320.115497
132,6.912607562,155.7404952,17973.17886,4.916302562,275.9082279
133,7.977635991,245.8951304,32170.06916,9.635636083,399.5831549
134,6.078335837,197.5019119,35957.79218,8.130472208,379.5277063
135,6.242414484,191.9087295,28149.41179,7.1304368,319.3067851
136,6.06335479,160.7673113,14775.1456,7.484103647,305.8285533
137,8.129585514,177.8989666,27834.2177,9.006007747,334.4385388
138,9.562405944,202.0136426,13041.82914,5.820655208,327.118824
139,8.167792632,200.9137547,27141.3629,7.262416639,344.1611343
140,8.594416135,270.0227059,15791.67535,5.912690624,7.080794504
141,7.080794504,167.3861273,20944.62081,4.963124049,7.080794504
142,6.825467901,187.0517097,46140.12685,6.137757462,352.7021822
143,7.861177701,204.2742411,25145.02412,7.923315375,338.2138034
144,4.96577356,220.8486386,21802.7449,6.250578031,311.598136
145,6.207432968,192.9370271,13442.60347,5.81902294,325.9065618
146,7.080794504,157.0012874,20067.10533,8.071051029,7.080794504
147,9.769251006,264.2656543,8471.677381,8.349709767,359.2685426
148,9.63066548,152.8624335,23641.70257,6.92570608,333.1483177
149,5.187471605,104.752425,20060.07873,6.913910914,7.080794504
150,7.633570088,199.6529996,16312.15497,9.900546897,358.5662821
151,5.77119905,155.0508931,24909.44401,6.53126127,297.0093194
152,6.579969329,197.2269809,17657.08418,4.506293474,290.2898943
153,4.801154368,180.7728708,13556.7344,8.977286381,322.062447
154,7.948815718,238.2364097,19129.45837,5.851964962,7.080794504
155,6.906992172,216.7852908,19991.23915,7.302351651,340.1060278
156,7.080794504,281.268667,22452.09081,6.773698986,343.6358213
157,7.080794504,190.7794599,12224.31051,4.646211053,308.5648863
158,8.461330874,212.5813664,34406.77645,8.679151556,384.8553815
159,7.726134808,233.9478637,21667.86874,6.313181872,340.2731714
160,7.080794504,247.6615733,19549.49934,8.76967029,7.080794504
161,8.927078148,241.875105,22821.25438,8.549738274,367.9755579
162,6.20801554,153.2211063,17358.79637,8.214938853,328.282029
163,6.128425635,141.4924095,9615.83271,7.62791913,277.9517037
164,7.080794504,202.2548328,11981.74019,9.189106138,339.9839346
165,7.308048848,274.7049505,14600.53952,8.105802882,384.5648525
166,7.080794504,170.0992357,39906.19027,6.554996213,7.080794504
167,8.640886409,201.5687241,26473.71324,6.967094562,352.3065857
168,7.080794504,205.5094572,20406.92767,6.810069235,355.2659229
169,8.153210075,127.1448918,10280.9295,5.828357794,267.6368856
170,8.29372011,206.1604149,35216.38597,6.440999766,347.0622407
171,7.080794504,233.850345,21136.28676,6.689877625,7.080794504
172,7.080794504,237.6773831,26009.07526,7.074531321,372.6002964
173,9.489972878,234.0699652,15513.74038,4.735332224,7.080794504
174,7.830976343,190.7990441,7695.063935,4.845205476,292.5158245
175,4.430281212,139.6857588,28862.25717,8.961372377,298.3794584
176,7.240739639,201.1868045,23783.09956,7.75128544,340.9836834
177,7.080794504,260.2053596,19517.7248,8.764168678,368.8210368
178,6.867301322,174.1849764,24112.15347,5.529942236,297.6555749
179,6.129637015,200.2781822,30989.94841,8.830102319,348.8681541
180,7.917049443,278.056321,27192.28056,9.220128211,424.7879959
181,6.511618075,181.8734217,29136.81462,7.685775096,345.7516385
182,5.323815584,232.36858,37625.75268,8.879822934,380.576472
183,6.769572869,168.9370725,11067.18115,7.121263609,305.7949503
184,5.87797404,141.6152867,13652.2932,5.701659125,279.7824004
185,9.534021716,201.955208,9472.61492,6.105708489,319.5764202
186,6.340027628,225.0281485,45222.50667,5.809031562,363.0057551
187,8.66159243,284.0983515,27088.47646,7.897856522,7.080794504
188,5.653506135,146.5902323,16462.46009,6.501596205,299.6446114
189,6.626012184,112.2994855,25839.8941,7.658746878,312.2470431
190,7.793833573,176.8664829,18344.68036,7.567676884,338.2295973
191,7.59312765,261.5661726,18371.0572,6.297542536,7.080794504
192,7.362736502,185.692181,16268.44861,5.317019275,316.9186485
193,9.320305445,129.8238585,16002.13832,4.405034532,271.6705616
194,3.719791644,248.8592673,23590.93213,7.683742221,351.5554822
195,6.655605026,216.4411715,20571.84571,8.984236816,7.080794504
196,9.868877881,214.1662353,15326.85591,3.35159782,297.0841735
197,5.590614436,229.1921395,35370.73552,7.98964067,7.080794504
198,5.554436511,229.1228286,31344.46039,7.761431064,7.080794504
199,4.126528715,125.4748835,11215.9459,5.366011336,261.4447977
200,5.970035657,230.4493293,16324.1152,5.293918607,315.1861206
201,7.080794504,229.7713495,16162.26231,4.933662227,7.080794504
202,8.369154354,183.5003784,12975.90033,6.600853064,315.9011216
203,6.284248242,190.0176486,12206.68121,7.910711202,7.080794504
204,11.26782838,161.8963622,6040.369868,7.20541412,7.080794504
205,9.298018008,163.0388346,13990.5134,4.24970162,7.080794504
206,7.895469246,154.2657803,7769.616119,7.205262042,258.3128794
207,7.947485786,269.809407,34440.77343,6.95828321,390.1042229
208,10.02615916,224.2663577,14962.17783,7.428313128,336.9729496
209,6.48819324,225.4819088,34864.42789,8.951692285,385.5056354
210,5.869736755,207.7254552,22244.21824,6.59776434,352.563987
211,7.080794504,220.8137025,21410.31962,6.324879789,335.8458627
212,5.30414266,160.9683582,25299.51156,6.28604311,300.5006892
213,7.533614823,186.9182451,11642.72754,5.890684294,7.080794504
214,4.077607725,207.8380479,18194.95414,7.923973951,7.080794504
215,7.080794504,105.8592636,37928.14218,5.609440346,7.080794504
216,7.086168401,189.1453777,4304.492483,3.615890517,259.3733218
217,6.271012171,213.444685,24846.14187,8.372997049,7.080794504
218,7.957768344,276.7335689,17162.39842,7.841541553,397.4319622
219,8.875642278,228.9215872,28487.7086,5.31873198,351.9607232
220,7.080794504,192.447171,18257.56927,7.472249066,313.7765458
221,6.613709118,141.1289215,25648.5695,7.222971557,295.2368921
222,7.735705022,137.3181658,16723.97724,7.675826174,282.5398923
223,9.925041328,238.7133934,10704.60318,6.110019418,351.5974227
224,9.00258311,202.9907653,19523.12486,7.244753274,330.3615123
225,5.095766465,273.4084481,26307.29845,10.2198041,380.2014982
226,8.594677108,263.7645927,23220.12061,6.394463065,383.9625918
