ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.0,205.0,20791.0,7.0,369.0,564.0,10.0,87.0,3.0,0
4.0,129.0,18630.0,7.0,7.0,593.0,15.0,56.0,5.0,0
8.0,224.0,19910.0,9.0,7.0,419.0,17.0,66.0,3.0,0
8.0,214.0,22018.0,8.0,357.0,363.0,18.0,100.0,5.0,0
9.0,181.0,17979.0,7.0,310.0,398.0,12.0,32.0,4.0,0
6.0,188.0,28749.0,8.0,327.0,280.0,8.0,55.0,3.0,0
10.0,248.0,28750.0,8.0,394.0,284.0,14.0,85.0,3.0,0
9.0,203.0,13672.0,5.0,303.0,475.0,12.0,63.0,4.0,0
7.0,119.0,14286.0,8.0,269.0,389.0,13.0,54.0,4.0,0
11.0,227.0,25485.0,9.0,404.0,564.0,18.0,72.0,4.0,0
7.0,166.0,32453.0,8.0,327.0,425.0,16.0,79.0,4.0,0
8.0,219.0,18768.0,8.0,7.0,364.0,15.0,76.0,4.0,0
7.0,157.0,18731.0,4.0,282.0,348.0,16.0,80.0,3.0,0
7.0,150.0,27331.0,7.0,299.0,380.0,19.0,77.0,4.0,0
7.0,205.0,28388.0,5.0,7.0,445.0,13.0,70.0,5.0,0
6.0,187.0,41065.0,10.0,364.0,517.0,12.0,75.0,4.0,0
7.0,211.0,30981.0,10.0,7.0,315.0,20.0,57.0,4.0,0
9.0,274.0,24041.0,7.0,398.0,478.0,13.0,71.0,5.0,0
9.0,279.0,19460.0,6.0,7.0,431.0,13.0,64.0,2.0,0
7.0,214.0,25630.0,4.0,336.0,470.0,13.0,63.0,3.0,0
7.0,227.0,22306.0,10.0,7.0,555.0,16.0,45.0,4.0,0
7.0,168.0,30944.0,6.0,311.0,524.0,18.0,77.0,4.0,0
7.0,216.0,17107.0,6.0,327.0,436.0,14.0,60.0,5.0,0
4.0,197.0,21168.0,7.0,7.0,444.0,17.0,90.0,5.0,0
5.0,141.0,17267.0,10.0,328.0,473.0,11.0,57.0,5.0,0
7.0,199.0,21219.0,9.0,324.0,413.0,15.0,80.0,5.0,0
3.0,208.0,33425.0,9.0,384.0,442.0,14.0,30.0,4.0,0
